id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
275,NueGo,Electric A/C Seater (2+2),16:45,20:35,03h 50m,404,17,5.99041797,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
276,NueGo,Electric A/C Seater (2+2),18:20,22:10,03h 50m,404,18,2.957410803,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
277,Morning Star Travels,A/C Sleeper (2+1),17:10,21:30,04h 20m,600,30,2.632670288,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
278,Sri Sai Padmavathi Travels,A/C Seater/Sleeper (2+1),23:55,4:00,04h 05m,450,30,2.997618334,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
279,Harikrishna Travels,Non A/C Seater / Sleeper (2+1),17:30,23:55,06h 25m,650,36,4.258093942,https://www.redbus.in/bus-tickets/jagityal-to-hyderabad,Jagityal to Hyderabad
280,SLVR Travels,Non A/C Seater / Sleeper (2+1),17:30,23:35,06h 05m,4000,4,2.67754682,https://www.redbus.in/bus-tickets/jagityal-to-hyderabad,Jagityal to Hyderabad
281,BSR Tours And Travels,A/C Seater / Sleeper (2+1),22:00,5:30,07h 30m,580,25,3.363404761,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
282,Bharathi Tours & Travels,A/C Sleeper (2+1),21:20,5:50,08h 30m,780,20,4.593998061,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
283,Nani? Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),22:20,5:50,07h 30m,399,20,4.342119977,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
284,AdVSR Tours and Travels,A/C Sleeper (2+1),23:00,5:30,06h 30m,649,26,3.750258939,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
286,CGR Travels,A/C Seater / Sleeper (2+1),21:50,9:15,11h 25m,500,16,4.640340973,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
287,Sai Karthik Travels,Non A/C Seater / Sleeper (2+1),21:40,9:15,11h 35m,500,22,2.244313698,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
288,Jagan Travels,Scania AC Multi Axle Sleeper (2+1),20:00,7:15,11h 15m,800,19,1.029020183,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
291,TSRTC - 7198,Super Luxury (Non AC Seater 2+2 Push Back),16:30,22:00,05h 30m,392,24,2.610594347,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,Hyderabad to Godavarikhani
292,TSRTC - 7331,Super Luxury (Non AC Seater 2+2 Push Back),17:30,23:15,05h 45m,392,30,4.684213801,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,Hyderabad to Godavarikhani
293,TSRTC - 7206,Super Luxury (Non AC Seater 2+2 Push Back),20:20,1:50,05h 30m,392,31,3.030945837,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,Hyderabad to Godavarikhani
294,TSRTC - 7235,Super Luxury (Non AC Seater 2+2 Push Back),21:30,3:00,05h 30m,392,31,5.9858236,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,Hyderabad to Godavarikhani
295,TSRTC - 9507,RAJDHANI (A.C. Semi Sleeper),22:00,3:30,05h 30m,476,34,4.802706717,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,Hyderabad to Godavarikhani
296,GDR Tours and Travels,Bharat Benz A/C Seater (2+2),18:00,21:30,03h 30m,300,38,1.311547729,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Hyderabad to Armoor
297,Orange Tours And Travels,A/C Sleeper (2+1),22:00,1:45,03h 45m,800,29,5.104118758,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Hyderabad to Armoor
298,Vamshi Tours Travels and Holidays,NON A/C Semi Sleeper (2+2),18:30,3:15,08h 45m,2997,37,4.05147156,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Hyderabad to Armoor
299,Saini Travels Pvt. Ltd.,AC Sleeper (2+1),21:30,1:40,04h 10m,951,30,4.027240043,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Hyderabad to Armoor
301,VEERA BRAHMENDRA TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,4:20,06h 50m,380,19,3.468671849,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala,Hyderabad to Nandyal
302,Indu Travels,Non A/C Seater / Sleeper (2+1),22:00,4:30,06h 30m,450,30,2.010243549,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala,Hyderabad to Nandyal
303,BRS Travels,NON AC Seater / Sleeper 2+1,22:10,5:00,06h 50m,500,25,5.650806864,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala,Hyderabad to Nandyal
306,NueGo,Electric A/C Seater (2+2),15:45,20:25,04h 40m,432,26,3.095002461,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,Hyderabad to Kodad
307,NueGo,Electric A/C Seater (2+2),15:55,18:45,02h 50m,356,8,1.056596857,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,Hyderabad to Kodad
308,NueGo,Electric A/C Seater (2+2),16:00,21:15,05h 15m,404,18,3.950864336,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,Hyderabad to Kodad
309,SVR Tours and Travels,A/C Seater / Sleeper (2+1),16:30,22:30,06h 00m,450,43,4.857856464,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,Hyderabad to Kodad
311,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:30,6:00,07h 30m,400,21,3.020072174,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,Hyderabad to Addanki
312,Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),21:40,5:30,07h 50m,493,11,5.343429294,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,Hyderabad to Addanki
313,Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),21:50,4:55,07h 05m,455,21,4.054485354,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,Hyderabad to Addanki
314,Kaveri Travels,,21:35,5:15,07h 40m,450,,3.305561345,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,Hyderabad to Addanki
316,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,5:50,10h 35m,1100,1,1.218886183,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
317,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:00,8:05,11h 05m,437,12,4.807769473,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
318,Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,7:45,10h 30m,349,25,5.003415391,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
319,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:30,8:45,11h 15m,646,12,1.257353161,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
